CountryCode,IndicatorCode,Year,value,IndicatorType,IndicatorSubType,Gender
AFG,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2014,22.1563606262207,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
AGO,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2001,70.9965515136719,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2008,78.761848449707,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2011,82.1525268554688,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2012,85.2160415649414,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ALB,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2003,42.7751197814941,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2004,51.4503211975098,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2005,43.9692001342773,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2006,50.273609161377,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2014,72.0306777954102,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2015,71.6724319458008,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2016,71.4838409423828,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
AND,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ARB,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2005,70.8633575439453,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2017,76.0952529907227,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2018,78.2472381591797,Education,Lower Secondary,Female
ARE,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2001,46.0987586975098,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2003,56.1946296691895,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2006,47.9628601074219,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2008,50.6395492553711,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2009,51.3729705810547,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2010,52.2616882324219,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2011,52.9863090515137,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2012,55.0225410461426,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2013,55.735279083252,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2014,55.8588600158691,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2015,56.2307281494141,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2016,56.1667594909668,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2018,59.1611595153809,Education,Lower Secondary,Female
ARG,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2001,89.9702606201172,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2011,96.1244430541992,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2015,96.8711929321289,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2017,96.1368789672852,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ARM,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ASM,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ATG,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2004,89.0431289672852,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2005,90.2619781494141,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2006,90.7767028808594,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2007,91.4706420898438,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2008,92.020881652832,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2009,92.2415390014648,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2010,93.3515014648438,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2011,93.7417373657227,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2012,94.2782211303711,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2013,91.0779418945313,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2014,91.3697204589844,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2015,92.4486312866211,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2016,92.3775329589844,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2017,92.8246765136719,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2018,93.4726028442383,Education,Lower Secondary,Female
AUS,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2014,98.6620635986328,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
AUT,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2007,89.9843368530273,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2008,89.9977035522461,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2009,93.7110824584961,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2010,93.8406600952148,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2011,93.8296966552734,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2012,93.8275527954102,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2013,93.847770690918,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2014,93.8500137329102,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2015,93.8436737060547,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2016,93.9019012451172,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2017,93.6846008300781,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
AZE,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2014,4.41708993911743,Education,Lower Secondary,Female
BDI,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
